observed_on,bank_id,bank,scope,status,source_state,latest_period,report_url,availability_pct,aisp_availability_pct,pisp_availability_pct,aisp_response_ms,pisp_response_ms,aisp_error_pct,pisp_error_pct,metric_method,note,source_url
2026-09-11,trinity,Trinity Bank,main,ok,ok,2026-Q2,https://www.trinitybank.cz/download/3036,99.9951,,,,,,,aritmeticky prumer dennich uptime hodnot vsech PSD2 sluzeb,"Tracker vybira pouze API report, nikoli paralelni report internetoveho bankovnictvi.",https://www.trinitybank.cz/otevrene-bankovnictvi/
2026-09-11,partners,Partners Banka,main,missing,ok,,,,,,,,,,,Na vyvojarskem portalu nebyla dohledana sekce se statistikami dostupnosti.,https://psd2.partnersbanka.cz/
2026-09-11,oberbank,Oberbank,main,missing,ok,,,,,,,,,,,"Verejna stranka funguje, ale odkaz Zverejneni statistiky XS2A smeruje na interni/neplatny hostname.",https://www.oberbank.cz/xs2a-interface
2026-09-11,jt,J&T Banka,main,ok,ok,2026-Q2,https://assets-eu-01.kc-usercontent.com:443/23883f12-8a12-01af-3f05-426faedce691/69bbf441-3b3b-4519-998b-10ec11b07591/Q2-2026_psd2_unavailability.pdf,99.7801,,,387.1698,16.2857,0.0009,0.0009,aritmeticky prumer dennich uptime hodnot,Reporty jsou vlozene v datech webove aplikace; tracker z nich vybere PSD2 PDF.,https://www.jtbank.cz/informacni-povinnost
2026-09-11,ppf,PPF banka,main,outdated,ok,2026-Q1,https://www.ppfbanka.cz/cs/document/download/8437,,,,,,,,banka v PDF nepublikuje uptime,"PDF publikuje odezvu a chybovost, ale ne uptime; k 2026-09-11 byl nejnovější pouze 2026-Q1.",https://www.ppfbanka.cz/cs/dokumenty/1868-pristupy-tretich-stran
2026-09-11,nrb,Národní rozvojová banka,audit-candidate,missing,ok,,,,,,,,,,,"Doplněný kandidát mimo původní sešit: oficiální PSD2 API stránka existuje, statistiky nebyly nalezeny.",https://www.nrb.cz/webklient/api-rozhrani-informace-pro-treti-strany/
2026-09-11,creditas,Banka CREDITAS,main,blocked,http-403,2026-Q2,https://www.creditas.cz/files/statisticke-udaje-o-dostupnosti-a-vykonu-rozhrani-2q-2026.pdf,99.956,,,1819.5176,936.4353,,,aritmeticky prumer dennich uptime hodnot,Prehledova stranka muze blokovat automaticke klienty; PDF maji stabilni a predvidatelnou adresu. Automaticke nacteni selhalo: HTTP 403 Posledni zname metriky byly zachovany z predchoziho behu.,https://www.creditas.cz/povinne-uverejnovane-informace#statisticke-udaje-o-dostupnosti
2026-09-11,kb,Komerční banka,main,ok,ok,2026-Q2,https://www.kb.cz/getmedia/956647de-9725-4cf0-9975-52c1e3462491/kb-psd2-2026-q2-cz.pdf,97.1856,,,378.5604,408.4945,0.0879,0.081,soucet minut provozu API / kalendarni minuty,Dostupnost je vypoctena z denne publikovane doby provozuschopnosti API.,https://www.kb.cz/cs/dostupnost-sluzeb-internetoveho-a-otevreneho-bankovnictvi-api
2026-09-11,rb,Raiffeisenbank,main,outdated,ok,2024-Q3,,100.0,,,,,,,posledni rucne overena vychozi hodnota,"Dokumenty jsou nacitane dynamicky; dodany sesit obsahuje denni podklad za 2024-Q3, novejsi report se nepodarilo automaticky overit.",https://www.rb.cz/informacni-servis/dokumenty-ke-stazeni
2026-09-11,air,Air Bank,main,ok,ok,2026-Q2,https://www.airbank.cz/file-download/statistiky-dostupnosti-2q-2026,98.9736,,,62.8242,72.7143,0.0066,0.0075,soucet minut provozu API / kalendarni minuty,Dostupnost je vypoctena z denne publikovane doby provozuschopnosti API.,https://www.airbank.cz/aplikace-tretich-stran/
2026-09-11,fio,Fio banka,main,ok,ok,2026-Q2,https://developers.fio.cz/stats/PSD2_2026Q2.pdf,99.9809,,,22.7143,16.0,0.0199,0.0034,soucet PSD2 API provozu / (provoz + vypadek),Dostupnost je vypoctena z denni doby provozu a vypadku PSD2 API.,https://developers.fio.cz/stats.html
2026-09-11,ppf,PPF banka,main,outdated,ok,2026-Q1,https://www.ppfbanka.cz/cs/document/download/8437,,,,101.8667,0.0,5.5556,0.0,prumer dennich hodnot odezvy a chybovosti; banka nepublikuje uptime,"PDF publikuje odezvu a chybovost, ale ne uptime; k 2026-09-11 byl nejnovější pouze 2026-Q1.",https://www.ppfbanka.cz/cs/dokumenty/1868-pristupy-tretich-stran
2026-09-11,moneta,MONETA Money Bank,main,blocked,parse-error,rolling-90d-to-2026-09-10,https://www.moneta.cz/otevrene-bankovnictvi,,,,500.8889,150.7111,0.1767,0.0078,prumer dennich hodnot v klouzavem 90dennim okne; uptime chybi,"Banka publikuje klouzavych 90 dni odezvy a chybovosti, nikoli dostupnost/uptime. Parser selhal: ValueError: MONETA tabulka neobsahuje denni zaznamy Posledni zname metriky byly zachovany z predchoziho behu.",https://www.moneta.cz/otevrene-bankovnictvi
2026-09-13,moneta,MONETA Money Bank,main,partial,ok,rolling-90d-to-2026-09-12,https://www.moneta.cz/otevrene-bankovnictvi,,,,500.6333,150.3667,0.1744,0.0089,prumer dennich hodnot v klouzavem 90dennim okne; uptime chybi,"Banka publikuje klouzavych 90 dni odezvy a chybovosti, nikoli dostupnost/uptime.",https://www.moneta.cz/otevrene-bankovnictvi
2026-09-13,creditas,Banka CREDITAS,main,ok,ok-direct-pdf,2026-Q2,https://www.creditas.cz/files/statisticke-udaje-o-dostupnosti-a-vykonu-rozhrani-2q-2026.pdf,99.956,,,1819.5176,936.4353,,,aritmeticky prumer dennich uptime hodnot,Prehledova stranka muze blokovat automaticke klienty; PDF maji stabilni a predvidatelnou adresu.,https://www.creditas.cz/povinne-uverejnovane-informace#statisticke-udaje-o-dostupnosti
2026-09-13,jt,J&T Banka,main,ok,ok,2026-Q2,https://assets-eu-01.kc-usercontent.com:443/23883f12-8a12-01af-3f05-426faedce691/69bbf441-3b3b-4519-998b-10ec11b07591/Q2-2026_psd2_unavailability.pdf,99.7801,,,387.1698,1482.0,0.0009,0.0009,aritmeticky prumer dennich uptime hodnot,Reporty jsou vlozene v datech webove aplikace; tracker z nich vybere PSD2 PDF.,https://www.jtbank.cz/informacni-povinnost
2026-09-13,ppf,PPF banka,main,outdated,ok,2026-Q1,https://www.ppfbanka.cz/cs/document/download/8437,,,,1833.6,,5.5556,0.0,prumer dennich hodnot odezvy a chybovosti; banka nepublikuje uptime,"PDF publikuje odezvu a chybovost, ale ne uptime; k 2026-09-11 byl nejnovější pouze 2026-Q1.",https://www.ppfbanka.cz/cs/dokumenty/1868-pristupy-tretich-stran
2026-09-14,moneta,MONETA Money Bank,main,partial,ok,rolling-90d-to-2026-09-13,https://www.moneta.cz/otevrene-bankovnictvi,,,,498.8556,149.9556,0.1733,0.0089,prumer dennich hodnot v klouzavem 90dennim okne; uptime chybi,"Banka publikuje klouzavych 90 dni odezvy a chybovosti, nikoli dostupnost/uptime.",https://www.moneta.cz/otevrene-bankovnictvi
2026-09-14,csob,ČSOB,main,partial,ok,2026-Q2,https://www.csob.cz/documents/10710/21871290/psd2-q2-2026.xlsx,,,,879.2395,612.5572,5.956,1.3187,prumer dennich XLSX hodnot; chybovost prevedena z podilu na procenta; uptime chybi,"Oficialni reportingova stranka je obcas nestabilni; XLSX publikuje odezvu a chybovost, ale ne dostupnost.",https://www.csob.cz/csob/otevrene-bankovnictvi-csob/pro-vyvojare/seznam-api/reporting
2026-09-14,jt,J&T Banka,main,ok,ok,2026-Q2,https://assets-eu-01.kc-usercontent.com:443/23883f12-8a12-01af-3f05-426faedce691/69bbf441-3b3b-4519-998b-10ec11b07591/Q2-2026_psd2_unavailability.pdf,99.7801,,,387.1698,1482.0,0.0879,0.0879,prumer dennich uptime; spolecna error response rate prevedena z podilu na procenta,Reporty jsou vlozene v datech webove aplikace; tracker z nich vybere PSD2 PDF.,https://www.jtbank.cz/informacni-povinnost
2026-09-14,ppf,PPF banka,main,outdated,ok,2026-Q1,https://www.ppfbanka.cz/cs/document/download/8437,,,,1833.6,,100.0,,prumer odezvy a chybovosti jen ve dnech s volanimi; banka nepublikuje uptime,"PDF publikuje odezvu a chybovost, ale ne uptime; k 2026-09-11 byl nejnovější pouze 2026-Q1.",https://www.ppfbanka.cz/cs/dokumenty/1868-pristupy-tretich-stran
2026-09-14,rb,Raiffeisenbank,main,missing,ok,,,,,,,,,,,"Dokumenty jsou nacitane dynamicky; dodany sesit obsahuje denni podklad za 2024-Q3, ale chybi overitelny verejny report. Hodnota se proto nepublikuje jako potvrzena dostupnost.",https://www.rb.cz/informacni-servis/dokumenty-ke-stazeni
2026-09-14,creditas,Banka CREDITAS,main,blocked,http-403,2026-Q2,https://www.creditas.cz/files/statisticke-udaje-o-dostupnosti-a-vykonu-rozhrani-2q-2026.pdf,99.956,,,1819.5176,936.4353,,,aritmeticky prumer dennich uptime hodnot,Prehledova stranka muze blokovat automaticke klienty; PDF maji stabilni a predvidatelnou adresu. Automaticke nacteni selhalo: HTTP 403 Posledni zname metriky byly zachovany z predchoziho behu.,https://www.creditas.cz/povinne-uverejnovane-informace#statisticke-udaje-o-dostupnosti
2026-09-15,moneta,MONETA Money Bank,main,partial,ok,rolling-90d-to-2026-09-14,https://www.moneta.cz/otevrene-bankovnictvi,,,,498.7889,149.6556,0.1733,0.0089,prumer dennich hodnot v klouzavem 90dennim okne; uptime chybi,"Banka publikuje klouzavych 90 dni odezvy a chybovosti, nikoli dostupnost/uptime.",https://www.moneta.cz/otevrene-bankovnictvi
2026-09-15,creditas,Banka CREDITAS,main,ok,ok-direct-pdf,2026-Q2,https://www.creditas.cz/files/statisticke-udaje-o-dostupnosti-a-vykonu-rozhrani-2q-2026.pdf,99.956,,,1819.5176,938.0659,,,aritmeticky prumer dennich uptime hodnot,Prehledova stranka muze blokovat automaticke klienty; PDF maji stabilni a predvidatelnou adresu.,https://www.creditas.cz/povinne-uverejnovane-informace#statisticke-udaje-o-dostupnosti
2026-09-16,moneta,MONETA Money Bank,main,partial,ok,rolling-90d-to-2026-09-15,https://www.moneta.cz/otevrene-bankovnictvi,,,,498.5111,149.3667,0.1722,0.0089,prumer dennich hodnot v klouzavem 90dennim okne; uptime chybi,"Banka publikuje klouzavych 90 dni odezvy a chybovosti, nikoli dostupnost/uptime.",https://www.moneta.cz/otevrene-bankovnictvi
2026-09-16,unicredit,UniCredit Bank,main,ok,ok,2026-Q2,https://developer.unicredit.eu/report?view=kpi,100.0,,,345.29,248.6567,0.1567,0.1567,prumer mesicnich hodnot CZ Dedicated Interface; spolecna error response rate v procentech,"Mesicni data pro CZ, Dedicated Interface; tracker sklada posledni uzavrene ctvrtleti.",https://developer.unicredit.eu/report?view=kpi
2026-09-16,creditas,Banka CREDITAS,main,blocked,http-403,2026-Q2,https://www.creditas.cz/files/statisticke-udaje-o-dostupnosti-a-vykonu-rozhrani-2q-2026.pdf,99.956,,,1819.5176,938.0659,,,aritmeticky prumer dennich uptime hodnot,Prehledova stranka muze blokovat automaticke klienty; PDF maji stabilni a predvidatelnou adresu. Automaticke nacteni selhalo: HTTP 403 Posledni zname metriky byly zachovany z predchoziho behu.,https://www.creditas.cz/povinne-uverejnovane-informace#statisticke-udaje-o-dostupnosti
2026-09-16,creditas,Banka CREDITAS,main,ok,ok-direct-pdf,2026-Q2,https://www.creditas.cz/files/statisticke-udaje-o-dostupnosti-a-vykonu-rozhrani-2q-2026.pdf,99.956,,,1819.5176,938.0659,,,prumer dennich hodnot z PDF tabulky se zachovanymi prazdnymi sloupci,Prehledova stranka muze blokovat automaticke klienty; PDF maji stabilni a predvidatelnou adresu.,https://www.creditas.cz/povinne-uverejnovane-informace#statisticke-udaje-o-dostupnosti
2026-09-16,partners,Partners Banka,main,partial,ok,rolling-30d-to-2026-09-15,https://jakbezi.partnersbanka.cz/,99.986,,,,,,,prumer 30 publikovanych dennich PSD2 health-check hodnot; nikoli ctvrtletni RTS report,Oficialni stavovy web publikuje denni PSD2 health-check za poslednich 30 dni; nejde o ctvrtletni RTS statistiku.,https://jakbezi.partnersbanka.cz/
2026-09-16,oberbank,Oberbank,main,missing,ok,,https://www.oberbank.cz/documents/20195/21703/obkglobal_xs2a_statistik.pdf/ed74f6e3-961a-a810-31ed-0df88ef05b56,,,,,,,,"verejny produkcni report Oberbank AG napric trhy; CZ data nejsou oddelena, proto metriky nejsou prevzaty","Opraveny verejny odkaz vraci produkcni report Oberbank AG, ale bez oddeleni ceske pobocky. Cisla proto nejsou zahrnuta do CZ datasetu.",https://www.oberbank.cz/xs2a-interface
2026-09-16,rb,Raiffeisenbank,main,outdated,ok,2025-Q1,https://www.rb.cz/attachments/infopovinnost/statistiky-vykonu-rozhrani-otevreneho-bankovnictvi-1Q-2025.pdf,,99.9981,100.0,,,0.0016,0.0,prumer publikovane denni dostupnosti AISP/PISP; nejde o dolozene minuty uptime; chybovost = soucet poctu chyb / soucet poctu volani x 100,"Verejne reporty jsou v dynamickem katalogu dokumentu. Dostupnost AISP/PISP je prumer publikovanych procent, nikoli dolozene mereni minut uptime. Report oznaceny 3Q2025 obsahuje denni datumy 2024; jeho metriky nejsou importovany. Novejsi report 2025-Q3 nebyl pouzit: obsahuje denni datumy 2024-Q3.",https://www.rb.cz/informacni-servis/dokumenty-ke-stazeni
2026-09-16,mbank,mBank,main,missing,ok,,,,,,,,,,"verejne reporty mBank existuji; cesky rozsah metrik neni jednoznacne dolozen, proto cisla nejsou prevzata","Verejny dynamicky portal nabizi reporty v EN/PL, nikoli CS. Bylo overeno vsech 27 PDF; zadny jednoznacne nevymezuje ceske rozhrani. Jazyk ani sidlo mBank S.A. samy o sobe nedokazuji zemi metrik; do potvrzeni CZ rozsahu nejsou cisla importovana.",https://developer.api.mbank.cz/reports
2026-09-16,rb,Raiffeisenbank,main,outdated,ok,2025-Q1,https://www.rb.cz/attachments/infopovinnost/statistiky-vykonu-rozhrani-otevreneho-bankovnictvi-1Q-2025.pdf,,99.9981,100.0,,,0.0016,0.0,prumer publikovane denni dostupnosti AISP/PISP; nejde o dolozene minuty uptime; chybovost = soucet poctu chyb / soucet poctu volani x 100,"Verejne reporty jsou v dynamickem katalogu dokumentu. Dostupnost AISP/PISP je prumer publikovanych procent, nikoli dolozene mereni minut uptime. Report oznaceny 3Q2025 obsahuje denni datumy 2024; jeho metriky nejsou importovany. Novejsi report nebyl pouzit: RB report oznaceny 2025-Q3 obsahuje den 2024-07-01 (2024-Q3); datumy se neprepisuji",https://www.rb.cz/informacni-servis/dokumenty-ke-stazeni
2026-09-16,moneta,MONETA Money Bank,main,partial,ok,rolling-90d-to-2026-09-15,https://www.moneta.cz/otevrene-bankovnictvi,,,,498.5111,149.3667,0.1722,0.0089,prumer dennich hodnot v klouzavem 90dennim okne; uptime chybi,"Banka publikuje klouzavych 90 dni odezvy a chybovosti, nikoli dostupnost/uptime. Tracker z uchovanych dni pocita oznacene souhrny uzavrenych ctvrtleti; neuplne pokryti je uvedeno, chybejici dny nejsou domyslene.",https://www.moneta.cz/otevrene-bankovnictvi
2026-09-16,mbank,mBank,main,unverified,ok,,https://developer.api.mbank.cz/reports,,,,,,,,"verejne reporty mBank existuji; cesky rozsah metrik neni jednoznacne dolozen, proto cisla nejsou prevzata","Cesky vyvojarsky portal skutecne nabizi verejne reporty. Oficialni FAQ potvrzuje spolecne API pro Cesko, Slovensko a Polsko, odlisene bankID. Vsech 27 PDF bylo procteno; samostatny cesky rez statistik neni jednoznacne vymezen. Jazyk ani sidlo banky nejsou duvodem vylouceni; do overeni rozsahu jsou cisla ponechana mimo CZ srovnani.",https://developer.api.mbank.cz/reports
2026-09-16,creditas,Banka CREDITAS,main,blocked,http-403,2026-Q2,https://www.creditas.cz/files/statisticke-udaje-o-dostupnosti-a-vykonu-rozhrani-2q-2026.pdf,99.956,,,1819.5176,938.0659,,,prumer dennich hodnot z PDF tabulky se zachovanymi prazdnymi sloupci,Prehledova stranka muze blokovat automaticke klienty; PDF maji stabilni a predvidatelnou adresu. Automaticke nacteni selhalo: HTTP 403 Posledni zname metriky byly zachovany z predchoziho behu.,https://www.creditas.cz/povinne-uverejnovane-informace#statisticke-udaje-o-dostupnosti
2026-09-16,oberbank,Oberbank,main,unverified,ok,,https://www.oberbank.cz/documents/20195/21703/obkglobal_xs2a_statistik.pdf/ed74f6e3-961a-a810-31ed-0df88ef05b56,,,,,,,,"verejny produkcni report Oberbank AG existuje; samostatny cesky rozsah metrik neni dolozen, proto cisla nejsou prevzata","Opraveny verejny odkaz vraci produkcni report Oberbank AG, ale bez oddeleni ceske pobocky. Cisla proto nejsou zahrnuta do CZ datasetu.",https://www.oberbank.cz/xs2a-interface
2026-09-16,mbank,mBank,main,unverified,ok,,https://developer.api.mbank.cz/reports,,,,,,,,"verejne reporty mBank existuji; cesky rozsah metrik neni jednoznacne dolozen, proto cisla nejsou prevzata","Cesky vyvojarsky portal skutecne nabizi verejne reporty. Katalog EN ma 27 PDF; PL varianta stejneho ceskeho portalu pridava 1Q2024, dohromady 28 ruznych dokumentu. Oficialni FAQ potvrzuje spolecne API pro Cesko a Slovensko, odlisene bankID; uvodni dokumentace zahrnuje i Polsko. Samostatny cesky rez statistik neni jednoznacne vymezen. Jazyk ani sidlo banky nejsou duvodem vylouceni; do overeni rozsahu jsou cisla ponechana mimo CZ srovnani.",https://developer.api.mbank.cz/reports
